ㄩ	1
位	6
？	7
粗	1
平	7
寐	2
超	5
我	10
詖	1
用	10
國	10
》	23
洪	1
手	2
古	2
黃	5
ㄓ	1
容	2
佛	1
年	12
安	6
助	3
興	7
置	2
过	5
左	3
騎	2
弗	4
得	8
昔	2
崗	1
萋	4
易	2
基	2
言	19
菜	3
動	9
德	14
去	1
曆	1
嬪	1
貴	1
遵	1
着	1
ㄌ	1
吃	1
俾	1
咸	7
即	1
念	4
明	18
返	1
葛	8
短	1
移	3
姓	4
右	3
若	5
先	6
服	8
象	3
虛	1
史	2
過	1
序	3
滿	2
殷	2
到	1
《	23
格	3
輔	2
木	1
孝	3
工	2
典	1
謂	8
生	2
謁	1
极	1
樂	5
庸	3
不	19
的	12
私	3
幽	1
績	2
尊	1
敏	1
然	2
東	1
形	8
義	21
詠	2
始	7
鳩	2
詞	8
百	6
頌	7
ㄍ	1
播	1
罔	1
俞	1
路	2
濩	2
帝	27
茂	2
月	7
隻	1
毨	1
詩	19
苗	1
累	2
馬	5
如	1
戲	1
应	3
耳	7
尧	1
虞	6
虺	2
世	15
達	2
族	7
领	5
母	4
域	5
出	6
鄉	2
恭	3
航	1
納	1
夷	2
中	6
家	5
騶	2
亲	1
上	7
灌	1
乖	2
蹈	2
聰	1
秩	3
載	2
同	7
痴	1
啟	1
乱	2
垢	1
岡	1
捷	1
人	11
讓	2
己	2
哀	6
子	11
一	14
於	18
感	3
俊	2
病	4
兕	4
慰	1
弼	1
諸	2
治	3
衣	3
稽	2
採	5
兜	1
水	2
行	3
交	1
暨	1
‘	1
何	4
半	1
盡	1
忝	1
她	3
邑	3
兮	2
授	1
篇	1
羲	4
鬼	2
儉	1
轉	1
覃	5
布	3
斜	2
器	2
害	3
四	17
毛	4
簸	1
斟	1
育	1
聲	4
傲	1
種	2
（	6
吟	2
遠	1
敎	2
七	1
聚	1
審	1
动	1
寘	2
鸝	1
疇	2
允	9
怨	2
永	8
海	2
刺	2
疲	3
西	2
昊	1
音	31
盛	3
嚚	2
革	1
織	1
杯	1
ˊ	5
尾	1
觀	1
雍	1
申	3
周	6
菊	1
進	3
參	3
高	5
佐	1
小	5
文	10
三	8
失	7
並	1
旬	1
希	1
意	1
瞽	1
綌	2
事	9
內	1
于	32
命	13
又	2
衰	2
湯	2
之	135
在	20
科	2
采	6
逊	1
乂	2
常	1
且	5
修	2
：	70
焉	13
雅	15
獸	4
芼	1
省	1
躬	1
成	12
居	1
鵲	2
ㄟ	4
是	22
賢	6
砠	2
ˋ	2
曰	55
配	2
妻	2
口	2
ㄙ	1
彼	7
惟	4
ㄊ	2
延	1
為	10
可	6
直	1
秋	1
既	2
角	1
搁	1
登	2
寅	2
否	3
或	1
析	1
维	5
麟	2
昭	2
情	11
而	18
汙	3
艱	1
「	57
煮	1
舞	2
澣	4
青	1
巢	2
共	1
敬	5
違	1
當	1
表	1
氣	2
節	1
酌	3
箕	1
经	5
師	6
地	4
樣	2
嗟	5
輾	1
親	2
浣	1
寫	1
斁	2
宅	5
断	1
！	13
咈	1
堯	3
蒼	1
瘏	3
岳	5
經	2
這	1
根	1
ㄆ	1
途	1
隩	1
鐘	1
發	9
汭	1
后	5
厭	1
矣	6
由	4
此	1
窕	6
知	3
鳴	1
艾	1
洲	1
役	1
昴	1
協	1
君	4
頭	1
歲	1
開	1
語	4
亦	1
细	1
僉	1
姦	1
飛	1
版	5
荇	3
痡	2
氄	1
被	2
非	1
澤	2
盈	2
能	2
）	6
賓	1
想	1
有	20
導	1
蔓	1
則	4
回	2
胤	1
和	8
’	1
通	1
汝	9
前	5
曷	1
跡	1
試	2
本	9
谷	4
金	2
友	1
鳥	8
罪	2
性	4
愛	1
品	5
施	3
夏	1
扑	1
朝	1
舜	12
艸	2
吁	5
并	5
寧	3
黄	1
洗	2
　	2
民	17
夕	1
雎	10
夫	7
亡	2
志	8
喈	4
錫	1
化	13
聞	3
欽	4
懷	7
頃	2
陵	1
王	14
分	2
越	1
驩	1
虑	1
他	3
刈	2
哉	8
頑	1
註	2
朞	1
、	26
咨	9
僕	2
土	1
祁	1
齊	1
綴	1
苛	2
山	4
流	1
誓	1
訟	1
學	1
瑟	1
气	2
色	3
皓	1
廢	6
公	10
美	4
烝	4
朔	2
”	1
足	10
倫	4
琴	1
悲	1
解	3
郤	1
戒	2
維	7
了	2
庶	1
心	6
呀	1
父	4
作	15
丕	1
道	6
遜	1
全	5
襄	1
宵	1
鼓	1
長	2
酒	4
悠	2
息	1
日	13
图	1
怒	2
穆	4
近	3
浩	2
二	5
女	11
將	1
灰	1
圮	1
放	4
乃	3
嵎	1
定	1
南	10
五	2
至	6
听	1
刑	3
神	4
僝	1
憂	3
石	1
召	4
必	1
朱	6
花	1
宁	3
嫌	1
句	3
切	1
思	13
卷	5
迹	1
者	24
陟	4
仿	1
寤	2
已	6
纖	1
側	2
六	11
紅	1
污	1
告	7
熙	1
ㄐ	1
鯀	1
予	2
體	1
觥	2
辰	1
崔	2
倦	1
正	10
下	15
舊	2
媯	1
沒	2
辭	1
丈	3
俗	6
九	3
抒	1
犀	1
贰	1
往	2
諫	2
繫	6
勞	1
异	1
險	2
無	12
其	18
豆	1
雀	1
薄	3
時	5
像	1
勳	1
歎	3
葉	3
筋	1
冬	1
止	4
首	2
求	3
律	2
愁	2
賦	5
傷	8
歌	5
也	42
朗	1
稱	1
淺	2
降	1
ㄤ	1
看	1
为	5
叔	2
淑	6
比	5
濯	1
朕	2
變	9
紫	1
“	1
政	14
嗣	1
多	1
異	4
訛	1
ㄏ	2
巽	1
嫩	1
孳	1
属	5
好	1
諧	1
主	2
穿	1
棄	1
自	3
譎	2
官	3
，	395
釐	2
」	57
邊	5
春	1
协	1
姑	2
閏	1
侯	15
隤	2
雷	1
观	1
章	6
厚	2
殊	2
揚	1
都	9
鰥	1
割	3
集	1
滔	2
教	11
天	17
以	52
久	1
澆	1
蕩	2
ㄨ	6
十	1
銅	1
故	21
食	1
玄	2
窈	6
星	5
光	3
牛	1
致	1
風	37
因	6
淫	2
植	2
厥	6
力	1
界	5
仲	6
嘆	2
才	2
所	9
黎	1
亂	2
嵬	2
暘	1
妃	5
勤	2
丹	4
河	1
歸	5
氏	2
差	3
把	1
陋	1
絺	2
火	1
臣	1
善	2
大	7
叫	1
乎	11
禮	6
邦	8
云	2
罍	2
克	5
监	5
借	1
北	2
ㄥ	1
使	1
方	8
謠	1
颓	1
婦	5
；	13
穫	2
将	1
關	11
。	186
反	1
莫	6
实	1
诸	13
密	1
筐	5
昧	1
靜	1
粵	6
趾	2
傅	1
萬	1
物	3
困	2
功	5
归	4
睦	3
逑	1
逝	5
餞	1
