word	frequency	collection	document	idf	doc_len
陀羅尼	102	taisho/t1332.html	taisho/t1332_01.html	0.7175	7311
陀羅尼	101	taisho/t1005A.html	taisho/t1005A_01.html	0.7175	5979
陀羅尼	97	taisho/t0397.html	taisho/t0397_04.html	0.7175	5921
陀羅尼	85	taisho/t1336.html	taisho/t1336_01.html	0.7175	4581
陀羅尼	84	taisho/t1345.html	taisho/t1345_01.html	0.7175	4117
陀羅尼	77	taisho/t1336.html	taisho/t1336_10.html	0.7175	4295
陀羅尼	74	taisho/t1008.html	taisho/t1008_01.html	0.7175	6604
陀羅尼	73	taisho/t1173.html	taisho/t1173_01.html	0.7175	3103
陀羅尼	72	taisho/t1185B.html	taisho/t1185B_01.html	0.7175	8803
陀羅尼	72	taisho/t1092.html	taisho/t1092_24.html	0.7175	6144
陀羅尼	70	taisho/t1344.html	taisho/t1344_01.html	0.7175	4019
陀羅尼	66	taisho/t1336.html	taisho/t1336_06.html	0.7175	5616
陀羅尼	65	taisho/t0397.html	taisho/t0397_37.html	0.7175	5198
陀羅尼	61	taisho/t1955.html	taisho/t1955_02.html	0.7175	9761
陀羅尼	59	taisho/t1336.html	taisho/t1336_04.html	0.7175	7546
陀羅尼	59	taisho/t1006.html	taisho/t1006_01.html	0.7175	5304
陀羅尼	58	taisho/t1788.html	taisho/t1788_04.html	0.7175	36532
陀羅尼	58	taisho/t1803.html	taisho/t1803_02.html	0.7175	13399
陀羅尼	56	taisho/t1336.html	taisho/t1336_05.html	0.7175	4811
陀羅尼	54	taisho/t1354.html	taisho/t1354_01.html	0.7175	4065
陀羅尼	52	taisho/t1014.html	taisho/t1014_01.html	0.7175	3223
陀羅尼	50	taisho/t1343.html	taisho/t1343_01.html	0.7175	6660
陀羅尼	50	taisho/t1016.html	taisho/t1016_01.html	0.7175	2294
陀羅尼	50	taisho/t1788.html	taisho/t1788_05.html	0.7175	34875
陀羅尼	50	taisho/t1185A.html	taisho/t1185A_01.html	0.7175	6467
陀羅尼	48	taisho/t0997.html	taisho/t0997_09.html	0.7175	5937
陀羅尼	48	taisho/t0397.html	taisho/t0397_35.html	0.7175	6009
陀羅尼	47	taisho/t1509.html	taisho/t1509_05.html	0.7175	6370
陀羅尼	45	taisho/t0397.html	taisho/t0397_58.html	0.7175	5868
陀羅尼	45	taisho/t1355.html	taisho/t1355_01.html	0.7175	2074
陀羅尼	45	taisho/t0397.html	taisho/t0397_36.html	0.7175	5121
陀羅尼	44	taisho/t1017.html	taisho/t1017_01.html	0.7175	3850
陀羅尼	44	taisho/t1009.html	taisho/t1009_01.html	0.7175	3268
