Query,Rank,Term,Pinyin Match,In Notes,Unigram Count,Hamming,Is Substring,Is Relevant
圜悟大師之所述也,1,大悟县,0,0,2,7,0,0
道與萬物一,2,一切事物,0,0,2,4,0,0
充滿太虛,2,太虛法師,0,0,2,4,0,0
盡為未來世設,2,未來比現在更好,0,0,2,7,0,0
天下之理,2,义理之天,0,0,3,3,0,0
順風而揮之,1,利而誘之,0,0,2,5,0,0
拈花微笑以來,3,水向石邊流出冷 風從花裏過來香,0,0,2,15,0,0
謂之公案者,3,知之者勝,0,0,2,4,0,0
野狐之趣易墮,6,野狐禅,0,0,2,4,0,0
一呵一喝,1,呵喝,0,0,2,4,0,1
故立毀碧巖集,1,圜悟碧集,0,0,2,6,0,1
祖師所以立為公案,2,六祖大師法寶壇經,0,0,2,8,0,0
點盡鬼神,1,装神弄鬼,0,0,2,4,0,0
點盡鬼神,4,天地鬼神,0,0,2,2,0,1
點盡鬼神,5,神職,0,0,1,4,0,0
點盡鬼神,9,天龍鬼神,0,0,2,2,0,1
點盡鬼神,10,鬼使神差,0,0,2,4,0,0
滿肚葛藤,3,滿孝,0,0,1,3,0,0
能問千轉,4,推問,0,0,1,3,0,0
能問千轉,10,心能轉境,0,0,2,4,0,0
於是有禪宗頌古行世,1,法眼禪師宗門十規論,0,0,2,8,0,0
於是有禪宗頌古行世,3,海东有本现行录,0,0,2,8,0,0
其徒有翻案法,3,一切有为法,0,0,2,5,0,0
然所謂第一義,2,第一桶金,0,0,2,6,0,0
然所謂第一義,9,第一義空,0,0,3,6,0,1
自達磨至六祖傳衣,1,傳達,0,0,2,7,0,0
若見水即海,5,临海水土志,0,0,2,4,0,0
卒被五刑,4,五角大樓,0,0,1,4,0,0
夫禍之與福,1,因禍得福,0,0,2,4,0,1
夫禍之與福,3,山谦之,0,0,1,4,0,0
禍之與福,4,禍福吉凶,0,0,2,3,0,0
命不可說,2,不可不察,0,0,2,4,0,0
萬物變化,1,變溫動物,0,0,2,4,0,0
南泉斬猫,3,南州乡,0,0,1,3,0,0
南泉問趙州,3,南泉斩猫,0,0,2,3,0,1
南泉問趙州,5,南州乡,0,0,2,4,0,0
外道問佛,3,問道於盲,0,0,2,3,0,0
喫飯了也未,1,我也是醉了,0,0,2,5,0,0
雲門餬餅,3,雲門胡餅,0,0,3,1,0,1
雲門餬餅,4,雲門文偃,0,0,2,2,0,0
雲門餬餅,5,雲門匡真,0,0,2,2,0,0
一切聲,1,一切入,0,0,2,1,0,0
堅固法身,4,堅固地神,0,0,2,2,0,0
維摩詰不二法門,4,維摩詰經,0,0,3,4,0,1
維摩詰不二法門,5,維摩詰居士,0,0,3,4,0,1
維摩詰不二法門,6,維摩詰所說經,0,0,3,4,0,1
維摩詰不二法門,7,維摩義記,0,0,2,5,0,0
三種病人,2,玄沙三種病人,0,0,4,6,1,0
般若體,1,般若时,0,0,2,1,0,1
般若體,2,般若經,0,0,2,1,0,1
般若體,3,般若部,0,0,2,1,0,0
世尊陞座,3,五参陞座,0,0,2,2,0,0
三轉語,3,三轉法輪,0,0,2,2,0,0
回向院,2,回向門,0,0,2,1,0,1
回向院,3,回向偈,0,0,2,1,0,0
單傳心印,2,佛心印,0,0,2,4,0,1
單傳心印,3,心願單,0,0,2,4,0,0
單傳心印,4,傳單,0,0,2,4,0,1
單傳心印,5,傳心術,0,0,2,4,0,0
單傳心印,6,福智印心,0,0,2,4,0,0
見性成佛,1,一性皆成,0,0,2,3,0,0
見性成佛,5,誓不成佛,0,0,2,2,0,1
見性成佛,6,花開見佛,0,0,2,3,0,0
舉梁武帝問達磨大師,2,達磨般若,0,0,2,9,0,0
舉梁武帝問達磨大師,7,梁武帝问达磨,0,0,4,9,0,1
如何是聖諦第一義,2,第一義天,0,0,3,8,0,1
如何是聖諦第一義,3,凡聖一如,0,0,3,8,0,0
箭過新羅,4,改過自新,0,0,2,3,0,0
滿面慚惶,4,滿面春風,0,0,2,2,0,1
滿面慚惶,5,面對,0,0,1,4,0,0
摸索不着,1,不着陆飞行,0,0,2,5,0,0
摸索不着,4,摸不着头脑,0,0,3,4,0,1
再來不直半文錢,2,半開後不圓唇元音,0,0,2,8,0,0
達磨遂渡江至魏,2,菩提達磨,0,0,2,7,0,0
帝後舉問志公,2,梁武帝問達磨,0,0,2,5,0,1
帝後舉問志公,3,漢平帝,0,0,1,6,0,0
出家唄,1,出家人,0,0,2,1,1,0
出家外道,1,無衣外道,0,0,2,2,1,1
出家外道,2,家醜不可外揚,0,0,2,6,0,0
武帝追憶,4,齐武帝,0,0,2,4,0,1
蹉過也不知,3,不過,0,0,2,4,0,0
一葦渡江,1,葦鵐,0,0,1,4,0,0
似閃電光,1,光陰似箭,0,0,2,4,0,0
似閃電光,2,金光閃爍,0,0,2,4,0,0
